Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003
"",Annual percent change,W419PCPI%,BAHRAIN,Inflation,1.7,5.8,5.1,14.3,24.4,16.2,22.6,17.7,15,2.2,3.8,11.4,8.7,3.2,0,-2.4,-2.5,-1.7,0.2,1.2,-0.3,0.9,-0.3,2.6,0.4,3.1,-0.1,4.6,-0.4,-1.3,-0.7,-0.2,n.a.,n.a.
"",Annual percent change,W513PCPI%,BANGLADESH,Inflation,3.5,-0.6,45.3,45,54.6,16.6,-2.4,9.3,17.4,13.6,15.3,14.5,12.9,9.6,10.4,10.5,10.1,10.9,9.6,8.7,10.6,8.3,3.6,3,6.1,7.7,3.9,5.1,8.5,6.4,2.3,1.8,3.8,5.3
"",Annual percent change,W316PCPI%,BARBADOS,Inflation,7.8,12.4,7,16.9,38.9,20.3,5,8.3,9.5,13.6,18.5,14.6,10.3,5.3,4.6,4.9,0.2,3.6,4.7,6.3,3,6.3,6,1.2,-0.1,1.9,2.4,7.7,-1.3,1.6,2.5,2.2,n.a.,n.a.
"",Annual percent change,W913PCPI%,BELARUS,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9.4,83.5,969,1190.2,2434.1,709.3,52.7,63.9,73.2,293.8,168.9,61.3,33.9,22.4
"",Annual percent change,W124PCPI%,BELGIUM,Inflation,3.9,4.3,5.4,7,12.7,12.8,9.2,7.1,4.5,4.5,6.7,7.6,8.7,7.7,6.4,4.9,1.3,1.5,1.2,3.1,3.5,3.2,2.4,2.8,2.4,1.4,1.8,1.5,0.9,1.1,2.7,2.4,1.1,1.2
"",Annual percent change,W339PCPI%,BELIZE,Inflation,21.4,18.6,20.7,67,20.8,20.8,-2.9,12.2,4.9,-11.8,7.1,11,6.8,5.4,3.9,3.3,0.8,2,3.2,2.1,3,3.2,2.4,1.4,2.5,2.9,6.4,1,-0.8,-1.2,0.6,1.2,n.a.,n.a.
"",Annual percent change,W638PCPI%,BENIN,Inflation,6.3,2.8,3.9,6.9,14.4,-34.4,8.3,9.9,6.8,10.3,10.9,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.2,3.8,n.a.,n.a.
"",Annual percent change,W514PCPI%,BHUTAN,Inflation,5.7,4.5,6,13,17.1,0,0,0,-15.9,6,12.5,6.3,11,18,7,1.9,10,6.4,10.1,8.8,10,12.3,16,11.2,7,9.5,8.8,6.5,10.6,6.8,4.8,5,n.a.,n.a.
"",Annual percent change,W218PCPI%,BOLIVIA,Inflation,3.8,3.7,6.5,31.5,62.8,8,4.5,8.1,10.4,19.9,47.1,32.1,123.5,275.6,1281.3,11749.6,276.3,14.6,16,15.2,17.1,22.4,11.2,8.5,7.9,10.2,12.4,4.7,7.7,2.2,4.6,1.6,n.a.,n.a.
"",Annual percent change,W963PCPI%,BOSNIA AND HERCEGOVINIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.2,-13.7,9.5,0.6,3.2,5.4,3.3,n.a.,n.a.
"",Annual percent change,W616PCPI%,BOTSWANA,Inflation,4.1,5.6,6.5,9.6,11.5,13.5,11.7,13.2,9,11.6,12.5,14.8,19.1,10.8,9.5,8.3,18.9,18.1,9,10,11.5,11.6,14.1,15.2,12.3,10.5,10.3,9.4,7.6,6.9,7.9,7.2,n.a.,n.a.
"",Annual percent change,W223PCPI%,BRAZIL,Inflation,22.3,20.1,16.5,12.6,27.6,28.9,42,43.7,38.7,53.9,132.6,101.7,100.5,135,192.1,226,147.1,228.3,629.1,1430.7,2947.7,477.4,1022.5,1927.4,2075.8,66,15.8,6.9,3.2,4.9,7,6.8,6.1,3.9
"",Annual percent change,W918PCPI%,BULGARIA,Inflation,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.8,2.8,2.8,2.7,2.7,2.5,6.4,23.9,333.5,82,72.8,96,62.1,121.6,1061.2,18.8,2.6,10.4,7.5,4.5,3.5
"",Annual percent change,W748PCPI%,BURKINA FASO,Inflation,1.8,2.1,-3,7.6,8.7,18.8,-8.4,30,8,15.2,12.1,7.8,10.1,5.1,4.5,-2.7,-2.7,-2.9,4.2,-0.3,-0.8,2.5,-2,0.6,24.7,7.8,6.1,2.3,5,-1.1,-0.2,3,n.a.,n.a.
"",Annual percent change,W618PCPI%,BURUNDI,Inflation,-0.3,3.8,3.9,5.9,15.8,15.8,6.8,6.9,23.4,25.3,1.2,12.2,5.9,8.2,14.3,3.8,1.7,7.1,4.5,11.7,7,9,4.5,9.7,14.7,19.4,26.4,31.1,12.5,7.9,24.3,8,n.a.,n.a.
"",Annual percent change,W522PCPI%,CAMBODIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,55.3,141.8,197,75,114.3,9.4,1.3,7.2,8,14.8,4,-0.8,-0.6,n.a.,n.a.
"",Annual percent change,W622PCPI%,CAMEROON,Inflation,5.8,4,8.1,10.4,17.2,13.6,9.9,14.7,14.8,9,7.7,7.5,15.3,20.5,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.9,-3.7,12.7,25.8,6.6,5.1,0,2.9,0.8,2.8,2.9,2.5
"",Annual percent change,W156PCPI%,CANADA,Inflation,3.3,2.8,4.8,7.6,10.9,10.7,7.5,8,9,9.1,10.2,12.5,10.7,5.9,4.3,4,4.1,4.4,4,5,4.8,5.6,1.5,1.8,0.2,1.9,1.6,1.6,1,1.8,2.7,2.5,0.9,1.8
"",Annual percent change,W624PCPI%,CAPE VERDE,Inflation,4.4,5.6,5.5,10.1,1.4,40.8,8.2,11.2,13.3,6.9,15.1,20.6,21.1,20.3,9.7,5.9,11.1,3.8,3.6,4.7,11.1,7.6,13.4,5.8,3.3,8.4,6,8.6,4.4,4.4,-2.4,3.7,n.a.,n.a.
"",Annual percent change,W626PCPI%,CENTRAL AFRICAN REP.,Inflation,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,14.7,13.2,14.6,2.6,10.5,2.4,-7,-3.9,0.6,-0.2,-2.8,-0.8,-2.9,24.5,19.2,3.7,1.6,-1.9,-1.5,3.1,3.7,n.a.,n.a.
"",Annual percent change,W628PCPI%,CHAD,Inflation,8.5,6.2,2.9,5.4,11.3,15.7,3.3,8.4,9.9,8.2,8.7,8.1,6.4,7.9,20.3,5.1,-13.1,-2.7,14.9,-4.9,0.5,4.2,-3.8,-10.9,41.3,5.4,11.3,5.6,4.3,-8.4,3.7,12.4,n.a.,n.a.
"",Annual percent change,W228PCPI%,CHILE,Inflation,21.2,13.6,57.3,295.4,483.7,372,211.5,91.9,40.1,33.4,35.1,19.7,9.9,27.3,19.9,30.7,19.5,19.9,14.7,17,26,21.8,15.4,12.7,11.4,8.2,7.4,6.1,5.1,3.3,3.8,3.6,2.3,3
"",Annual percent change,W924PCPI%,"CHINA,P.R.: MAINLAND",Inflation,1.1,1.1,1,1,0.9,1.1,0.3,2.5,0.7,1.9,6,2.4,1.9,1.5,2.8,9.3,6.5,7.3,18.8,18,3.1,3.4,6.4,14.7,24.1,17.1,8.3,2.8,-0.8,-1.4,0.4,0.7,0.3,1.5
"",Annual percent change,W532PCPI%,"CHINA,P.R.:HONG KONG",Inflation,7.1,3.5,6.1,18.1,14.6,2.7,3.8,5.6,5.8,11.7,15.1,13.8,10.6,9.9,-4.8,3.5,3.5,5.7,7.8,10.2,10.3,11.2,9.6,8.8,8.8,9,6.3,5.8,2.9,-4,-3.7,-1.6,-2.5,0
"",Annual percent change,W233PCPI%,COLOMBIA,Inflation,6.8,9,13.4,20.7,24.3,22.9,20.2,33,18.8,28.8,25.9,27.4,24.5,19.8,16.1,24,18.9,23.3,28.1,25.9,29.1,30.4,27,22.4,22.8,20.9,20.8,18.5,18.7,10.9,9.2,8,7.1,5.3
"",Annual percent change,W632PCPI%,COMOROS,Inflation,4.3,5.6,5.5,10,18.4,29.7,9.6,9.4,9.1,10.7,13.3,6.5,15.2,9.2,6,8.4,-11.3,3.3,0.3,4.4,-7.4,1.7,-1.4,2,25.3,7.1,2,3,3.5,3.5,4.5,5,n.a.,n.a.
"",Annual percent change,W636PCPI%,"CONGO, DEM. REP. OF",Inflation,8,5.8,15.8,15.7,27.4,29,80.7,69,48.5,101.3,46.7,34.9,37.1,76.7,52.6,23.5,46.7,90.4,82.7,104.1,81.3,2154.4,4129.2,1893.1,23760.5,541.8,616.8,198.5,106.9,269.6,553.7,299,n.a.,n.a.
"",Annual percent change,W634PCPI%,"CONGO, REPUBLIC OF",Inflation,1.4,4.1,9.9,3.2,5.6,17.3,7.2,14.5,10.1,8.1,7.3,0.8,3.5,3.5,3.5,3.5,3.5,3.5,-13,-11.8,2.8,-1.6,-3.9,5,42.9,8.6,10.2,13.2,1.8,3.1,0.4,-0.5,n.a.,n.a.
"",Annual percent change,W238PCPI%,COSTA RICA,Inflation,4.7,3.1,4.6,15.2,30.1,17.4,-14.7,17.4,3.5,4.2,6,37.1,90.1,32.6,12,15.1,11.8,16.8,20.8,16.5,19,28.7,21.8,9.8,13.5,23.2,17.6,13.3,11.7,10.1,11.5,11,n.a.,n.a.
"",Annual percent change,W662PCPI%,COTE D IVOIRE,Inflation,9.4,-1.5,0.3,11.1,17.4,11.4,12.1,27.4,13,29.4,8.8,8.7,7.4,5.9,4.3,1.8,6.8,7,6.9,1,-0.7,1.6,4.2,2.1,26,14.3,2.7,4.2,4.5,0.7,2.5,4.4,3.6,3.4
"",Annual percent change,W960PCPI%,CROATIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,665.5,1516.6,97.5,2,3.5,3.6,5.7,4.1,6.2,4.9,n.a.,n.a.
"",Annual percent change,W423PCPI%,CYPRUS,Inflation,2.4,4.1,4.9,7.8,16.4,4.4,3.9,7.3,7.3,9.6,13.5,10.8,6.4,5.1,6,5,1.2,2.8,3.4,3.8,4.5,5,6.5,4.9,4.7,2.6,3,3.6,2.2,1.8,4.1,2,1.8,2.2
"",Annual percent change,W935PCPI%,CZECH REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11.1,20.8,10,9.1,8.8,8.5,10.7,2.1,3.9,4.7,4,3.7
"",Annual percent change,W128PCPI%,DENMARK,Inflation,6.5,5.9,6.5,9.5,15.1,9.5,9,11.1,10,9.6,12.3,11.7,10.1,6.9,6.3,4.7,3.6,4,-52.3,4.8,2.5,2.5,2.1,1.3,2,2.1,2.1,2.2,1.8,2.5,2.9,2.1,2.3,2.2
"",Annual percent change,W611PCPI%,DJIBOUTI,Inflation,4.3,5.7,5.6,5.6,17.2,9.4,19.7,30.9,14.2,10.6,11.7,5.7,-2.3,0.8,1.7,3.4,16.4,4.2,6.4,3,7.8,6.8,3.4,4.4,6.5,4.9,3.5,2.5,2.2,2,2.4,1.8,n.a.,n.a.
"",Annual percent change,W321PCPI%,DOMINICA,Inflation,12.4,3.6,3.7,12.1,36.3,18.3,10.9,9.5,7.8,18,32.7,13.3,4.4,4.2,2.1,2.1,3,4.8,2.3,7.7,3.1,5.6,5.3,1.6,0,1.3,1.7,2.4,0.9,1.6,1.9,1.8,n.a.,n.a.
"",Annual percent change,W243PCPI%,DOMINICAN REPUBLIC,Inflation,3.8,4.3,7.8,15.1,13.2,14.5,7.8,12.8,3.6,9,16.8,7.5,7.6,5.6,38.7,45.3,7.6,13.6,43.9,40.7,50.5,32.8,4.3,5.3,8.3,12.5,5.4,8.3,4.8,6.5,7.7,8.9,3.7,3.9
"",Annual percent change,W248PCPI%,ECUADOR,Inflation,5.1,8.4,7.9,13,13,23.3,15.5,10.7,13.2,11.6,10.2,14.7,16.3,48.4,31.2,28,23,29.5,58.2,75.7,48.4,48.8,54.6,45,27.3,22.9,24.4,30.6,36.1,52.2,96.2,37,15.5,8
"",Annual percent change,W469PCPI%,EGYPT,Inflation,3.8,3.1,2.1,4.3,10.9,9.7,10.3,11.6,11.3,10,20.5,10.4,14.9,16,17.1,12.1,23.9,25.2,14.2,20.2,22.2,14.7,21.1,11,9,9.4,7.1,6.2,4.7,3.8,2.8,2.4,3.2,4.4
"",Annual percent change,W253PCPI%,EL SALVADOR,Inflation,2.8,0.4,1.6,6.4,16.9,19.2,7,11.8,13.2,12.1,17.4,14.7,11.7,13.1,11.7,22.3,31.9,25.3,19.9,17.6,24,14.4,11.2,18.5,10.6,10.1,9.8,4.5,2.5,0.5,2.3,3.8,n.a.,n.a.
"",Annual percent change,W642PCPI%,EQUATORIAL GUINEA,Inflation,1.7,5.6,6.9,10.3,18,12.7,15.4,12,9.4,12.2,0,16.7,38.3,60.1,59.5,63.7,-15.7,-9,-3.4,7.2,0.7,0.9,1,1.6,38.9,11.4,6,3,3,6.5,6,12,n.a.,n.a.
"",Annual percent change,W643PCPI%,ERITREA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.8,13.1,12,10.3,3.7,9.5,8.4,19.9,15.1,n.a.,n.a.
"",Annual percent change,W939PCPI%,ESTONIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17.2,210.6,1056.4,89.8,49.3,29,23.1,11.2,8.1,3.3,4,5.8,3.5,3.5
"",Annual percent change,W644PCPI%,ETHIOPIA,Inflation,10.1,0.5,-6.1,8.9,8.6,6.7,28.8,16.9,18.8,13.2,12.4,1.9,7.8,3.6,-0.3,18.4,5.6,-9.1,2.2,9.6,5.2,20.9,21,10,1.2,13.4,0.9,-6.4,3.6,3.9,4.2,-7.1,n.a.,n.a.
"",Annual percent change,W819PCPI%,FIJI,Inflation,4.2,6.5,9.1,11.2,14.5,13.1,11.4,7.5,6,7.2,14.5,11.2,7,6.8,5.3,4.4,1.8,5.7,11.9,5.7,8.2,6.5,6.3,2.9,1.2,2.2,2.4,2.9,8.3,0.2,3,5,n.a.,n.a.
"",Annual percent change,W172PCPI%,FINLAND,Inflation,2.7,6.5,7.1,11,16.7,17.8,14.3,12.7,7.8,7.5,11.6,12,9.3,8.4,7,5.8,2.9,4.1,5.1,6.6,5,4.2,2.9,2.2,1.1,1,1.1,1.2,1.3,1.3,3,2.6,1.5,1.6
"",Annual percent change,W132PCPI%,FRANCE,Inflation,5.9,5.5,6.2,7.3,13.7,11.8,9.6,9.4,9.1,10.8,13.1,13.3,12,9.5,7.7,5.8,2.5,3.3,2.7,3.5,3.4,3.2,2.4,2.1,1.7,1.8,2.1,1.3,0.7,0.6,1.8,1.8,1.5,1.4
"",Annual percent change,W646PCPI%,GABON,Inflation,3.8,3.9,3.4,6.2,12,28.3,20.2,13.9,10.7,8.1,12.3,8.6,16.7,10.4,5.9,7.3,6.4,-1,-9.8,6.9,5.7,3.3,-10.8,0.6,36.1,10,4.5,4.1,2.3,-0.7,1,2.6,n.a.,n.a.
"",Annual percent change,W648PCPI%,"GAMBIA, THE",Inflation,-2,3.1,8.7,6.9,9.2,25.9,17.1,12.4,10.2,7.5,5,7.9,8.2,9.3,15.6,21.8,35,46.2,12.4,10.8,10.2,9.1,12,5.9,4,4,4.8,3.1,1.1,3.8,0.9,4,n.a.,n.a.
"",Annual percent change,W915PCPI%,GEORGIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3.3,78.5,887.4,3125.4,15606.5,162.7,39.3,7,3.6,19.1,4,4.7,4.6,5
"",Annual percent change,W134PCPI%,GERMANY,Inflation,3.4,5.2,5.5,7,7,5.9,4.3,3.7,2.7,4.1,5.4,6.3,5.3,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,3.5,5,4.5,2.7,1.7,1.2,1.5,0.6,0.7,2.1,2.4,1.5,1.2
"",Annual percent change,W652PCPI%,GHANA,Inflation,3,8.8,10.8,17.1,18.7,29.8,55.4,116.5,73.1,54.5,50,116.5,22.3,122.9,39.7,10.3,24.6,39.8,31.4,25.2,37.3,18,10.1,25,24.9,59.5,46.6,27.9,14.6,12.4,25.2,33,15.9,10.2
"",Annual percent change,W174PCPI%,GREECE,Inflation,3.9,4.3,5.5,7,12.7,12.8,9.2,7.1,4.5,4.5,6.6,7.6,8.7,7.7,6.3,19.3,23,16.4,13.5,13.7,20.4,19.5,15.9,14.4,10.9,8.9,7.9,5.4,4.5,2.2,2.9,3.7,3.3,2.7
"",Annual percent change,W328PCPI%,GRENADA,Inflation,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,17.9,21.7,21,18.9,7.8,6.1,5.7,1.9,0.5,-0.9,4,5.6,2.8,2.6,3.8,2.8,2.6,2.2,2.8,1.3,1.4,0.5,2.2,2.5,n.a.,n.a.
"",Annual percent change,W258PCPI%,GUATEMALA,Inflation,2.4,-0.5,0.5,13.8,16.5,13.2,10.7,12.3,7.9,11.5,10.7,11.4,4.9,6.4,3.5,18.6,36.9,-9.8,9.8,12.8,41.6,35.1,10.2,13.4,12.5,8.4,11,9.2,6.6,4.9,5.1,8.7,5,3.9
"",Annual percent change,W656PCPI%,GUINEA,Inflation,4.3,5.6,5.6,10,4.1,4.8,6.2,4.6,6.7,11.2,40,35,29.9,30.3,26,19,64.7,36.9,27.3,28.3,19.4,19.6,16.6,7.2,4.2,5.6,3,1.9,5.1,4.6,6.8,6.8,n.a.,n.a.
"",Annual percent change,W654PCPI%,GUINEA-BISSAU,Inflation,4.4,5.6,5.5,0.8,30.7,19.8,1.6,3,-4.4,26,64.8,41.9,16.5,23.3,64.9,112.7,26.5,119.6,60.3,80.8,33,57.6,69.4,48.2,15.2,45.4,50.7,49.1,8,-2.1,8.6,5,n.a.,n.a.
"",Annual percent change,W336PCPI%,GUYANA,Inflation,3.4,1,5,7.5,17.5,7.8,9,8.3,15.1,17.9,14.1,22.2,20.6,15.3,25.1,15,7.9,28.7,39.9,89.7,63.6,101.5,28.2,12,12.4,12.2,7.1,3.6,4.6,7.5,6.1,2.4,n.a.,n.a.
"",Annual percent change,W263PCPI%,HAITI,Inflation,1.3,9.5,3.2,22.7,15,16.8,7,6.5,-2.9,9.7,18,8.1,8.5,8.8,8.1,8.5,8.5,-5,2.9,11,20.4,19,21.3,18.8,37.4,30.2,21.9,16.2,12.7,8.1,11.5,16.7,n.a.,n.a.
"",Annual percent change,W268PCPI%,HONDURAS,Inflation,2.9,2.2,3.6,5.2,12.8,8.4,4.7,8.5,5.9,12,18.2,9.4,8.9,8.3,4.7,3.4,3.9,2.8,6.6,9.8,23.3,34,8.8,10.7,18.2,29.5,23.8,20.2,13.7,11.6,11,9.7,n.a.,n.a.
"",Annual percent change,W944PCPI%,HUNGARY,Inflation,4.2,5.7,-3.7,3.4,1.8,3.8,5,3.9,4.5,9,9.1,5,6.7,6.4,8.7,7,5.3,8.6,15.7,16.9,28.6,34.8,22.8,22.4,18.8,28.3,23.5,18.3,14.3,10,9.8,9.2,5.4,4
"",Annual percent change,W176PCPI%,ICELAND,Inflation,13.1,6.4,10.4,22.2,43,49,32.2,30.5,44.1,45.8,58.5,50.9,51,84.3,29.2,32.4,21.3,18.8,25.5,21.1,14.8,6.8,3.8,4.1,1.5,1.7,2.3,1.8,1.7,3.4,5,6.7,6.4,3.5
"",Annual percent change,W534PCPI%,INDIA,Inflation,5.1,3.2,5.2,17.8,27.7,5.6,-7.8,8.3,2.5,6.3,11.4,13.1,7.9,11.9,8.3,5.6,8.7,8.8,9.4,6.2,9,13.9,11.8,6.4,10.2,10.2,9,7.2,13.2,4.7,4,3.8,4.1,4
"",Annual percent change,W536PCPI%,INDONESIA,Inflation,12.3,4.4,6.4,31,40.6,19.1,19.8,11.1,8.1,22,18.5,12.2,9.5,11.8,10.4,4.7,5.9,9.3,8.1,6.4,7.9,9.4,7.5,9.7,8.5,9.4,7.9,6.2,58,20.7,3.8,11.5,12.4,8.2
"",Annual percent change,W429PCPI%,"IRAN, I.R. OF",Inflation,1.6,4.2,6.5,9.8,14.2,14.9,11.4,27.1,11.8,10.5,20.6,24.2,18.7,19.7,12.6,4.4,23.7,27.7,28.9,17.4,9,20.7,24.4,22.9,35.2,49.4,23.2,17.3,20,20.4,12.6,11.7,15,12
"",Annual percent change,W178PCPI%,IRELAND,Inflation,8.2,9,8.6,11.4,17,20.9,18,13.6,7.5,13.3,18.3,20.2,17.2,10.4,8.6,5.5,3,3.2,2.2,4,3.4,3.1,3.1,1.4,2.4,2.8,2.2,1.2,2.2,2.5,5.3,4,4.4,3
"",Annual percent change,W436PCPI%,ISRAEL,Inflation,6.1,12,12.9,20,39.7,39.3,31.4,34.6,50.9,78.2,130.9,116.8,120.4,145.6,369.7,308.8,48.1,19.7,16.5,20.2,17.1,19,11.9,10.9,12.3,10,11.3,9,5.4,5.2,1.1,1.1,3.1,2.1
"",Annual percent change,W136PCPI%,ITALY,Inflation,5,4.9,5.7,10.8,19.1,17.1,16.7,18.5,12,14.8,21.3,19.5,16.5,14.6,10.9,9.1,5.8,4.7,5.1,6.3,6.5,6.3,5.3,4.6,4.1,5.2,4.1,1.9,2,1.7,2.6,2.7,2.2,1.6
"",Annual percent change,W343PCPI%,JAMAICA,Inflation,7.7,5.3,5.4,17.7,27.2,17.4,9.8,11.2,34.9,28.7,18,9.2,6.8,16.7,31.3,29.7,24.4,11.2,8.2,16.1,24.8,68.6,57.5,24.3,33.2,21.7,21.5,8.8,6,8.4,6.4,5,n.a.,n.a.
"",Annual percent change,W158PCPI%,JAPAN,Inflation,7.6,6.4,4.8,11.7,23.1,11.7,9.4,8.2,4.2,4,7.8,4.9,2.8,1.9,2.3,2,0.6,0.1,0.7,2.3,3.1,3.3,1.7,1.2,0.7,-0.1,0,1.7,0.6,-0.3,-0.8,-0.7,-1.1,-0.5
"",Annual percent change,W439PCPI%,JORDAN,Inflation,5.9,4.8,7.7,11.1,19.4,12,11.5,14.6,6.9,14.3,11,7.7,7.5,5.1,3.8,2.9,0,0,6.7,25.7,-3.3,8.2,4,3.3,3.6,2.3,6.5,3,3.1,0.6,0.7,1.8,3.5,2.4
"",Annual percent change,W916PCPI%,KAZAKHSTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.6,91,1515.7,1662.3,1879.9,176.3,39.1,17.4,7.3,8.4,13.3,8.3,6.4,5.1
"",Annual percent change,W664PCPI%,KENYA,Inflation,2.1,3.7,6.1,9.3,17.7,19.2,11.5,15,17.1,8.1,13.9,7.9,13.8,11.6,20.7,11.4,10.3,13,4.8,7.6,11.2,14.7,33.3,46,28.8,1.6,8.9,11.4,6.6,3.5,6.2,0.8,3.2,3.9
